date,username,created_at,tweet,heartbreak,Friendship issue,Work issues,Suicidal thoughts,insomania,looks_insecurity,mental health issue,family issue
18-03-2021,amanda_mental,2021-03-18 21:59:02 India Standard Time,i am worthless im a horrible person,0.0,0.05577858466162958,0.0,0.05498819032752079,0.0,0.0,0.05829937000688061,0.0
18-03-2021,amanda_mental,2021-03-18 08:44:03 India Standard Time,im open to new stuff so whats your fav,0.0,0.059721160508951356,0.0,0.029437449520888347,0.0,0.0,0.0,0.0
18-03-2021,amanda_mental,2021-03-18 08:35:19 India Standard Time,dyed my hair pink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-03-2021,amanda_mental,2021-03-18 08:34:57 India Standard Time,i want new music any suggestions,0.0,0.0,0.0,0.03433882274321578,0.0,0.0,0.0,0.0
18-03-2021,amanda_mental,2021-03-18 08:25:42 India Standard Time,me in target earlier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-03-2021,amanda_mental,2021-03-17 05:48:47 India Standard Time,wish i had friends,0.0,0.0928999847678756,0.0,0.0,0.0,0.0,0.0,0.0
17-03-2021,amanda_mental,2021-03-17 05:41:57 India Standard Time,this is such a long depressive episode can i go back to being maniac yet bipolar,0.0,0.0,0.0,0.0,0.0,0.0,0.04373974702239958,0.05095853428089184
17-03-2021,amanda_mental,2021-03-17 03:36:28 India Standard Time,dont feel like interacting today sorry yall,0.047848671848293334,0.0,0.0802909234260262,0.0,0.0,0.0,0.0,0.0
15-03-2021,amanda_mental,2021-03-15 08:59:32 India Standard Time,just now,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-03-2021,amanda_mental,2021-03-15 05:23:36 India Standard Time,i think about this daily bpd bipolar depression paranoia,0.0,0.0,0.0,0.033271654884047194,0.0,0.0,0.059002341522080386,0.0
15-03-2021,amanda_mental,2021-03-15 05:10:00 India Standard Time,great way to not make any friends,0.0,0.0,0.0,0.0,0.0,0.0,0.051608946942359665,0.0
